index,sample_index,filename,source_text,target_text,input_noise_standard_deviation,input_noise_seed,masking_proportion,masked_character_index,masked_character,glyph_mask_seed,generation_seed,ocr_predicted_text,ACC,NED,CER,masked_character_correct,other_character_1_correct,other_character_2_correct,other_character_3_correct,other_character_4_correct,input_path,output_path
0,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,0,a,100042,200042,aaculng,0.0,0.2857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p0/char-1/0000.png
1,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,1,6,100043,200042,aaculng,0.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p0/char-2/0000.png
2,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,2,u,100044,200042,aaculng,0.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p0/char-3/0000.png
3,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,3,h,100045,200042,aaculng,0.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p0/char-4/0000.png
4,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,4,q,100046,200042,aaculng,0.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p0/char-5/0000.png
5,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.1,0,a,100042,200042,aaculng,0.0,0.2857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p1/char-1/0000.png
6,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.1,1,6,100043,200042,aaculng,0.0,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p1/char-2/0000.png
7,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.1,2,u,100044,200042,acicuhaa,0.0,0.375,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p1/char-3/0000.png
8,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.1,3,h,100045,200042,aarguhrya,0.0,0.33333333333333337,1.2,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p1/char-4/0000.png
9,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.1,4,q,100046,200042,aaquiha,0.0,0.4285714285714286,0.8,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p1/char-5/0000.png
10,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.3,0,a,100042,200042,acicuuing,0.0,0.2222222222222222,1.4,1.0,0.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p3/char-1/0000.png
11,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.3,1,6,100043,200042,aaniuhqai,0.0,0.4444444444444444,1.0,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p3/char-2/0000.png
12,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.3,2,u,100044,200042,aarahhapa,0.0,0.2222222222222222,1.4,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p3/char-3/0000.png
13,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.3,3,h,100045,200042,aaclunqga,0.0,0.33333333333333337,1.2,0.0,1.0,0.0,0.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder_per_char/results/generated/mask-0p3/char-4/0000.png
